herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
Loma Linda U.,300,67.96,23691
Florida Gulf Coast U.,301,67.86,23664
Meharry Medical C.,302,67.75,23275
Charles R. Drew U. Medicine and Science,303,67.64,23054
Western Washington U.,304,67.54,22672
Albany Medical C.,305,67.43,22647
"U. North Carolina, The, Wilmington",306,67.32,22588
Wright State U.,307,67.21,22464
Montana Technological U.,308,67.11,22292
"CUNY, Advanced Science Research Center",309,67.0,21852
U.S. Military Academy,310,66.89,21394
New York Medical C.,311,66.79,21156
James Madison U.,312,66.68,19615
"CUNY, John Jay C. Criminal Justice",313,66.57,19318
Bowling Green State U.,314,66.46,19311
U. North Florida,315,66.36,19215
U. New Orleans,316,66.25,19045
Towson U.,317,66.14,18759
Texas Southern U.,318,66.04,18348
Long Island U.,319,65.93,17842
Duquesne U.,320,65.82,17673
Florida Institute of Technology,321,65.71,17494
"Southern Illinois U., Edwardsville",322,65.61,16716
Idaho State U.,323,65.5,16248
Sam Houston State U.,324,65.39,16212
Alabama A&M U.,325,65.29,16103
North Carolina Central U.,326,65.18,16054
Missouri State U.,327,65.07,15955
"Oklahoma State U., Center for Health Sciences",328,64.96,15603
Xavier U. Louisiana,329,64.86,15570
"Texas Tech U. Health Sciences Center, El Paso",330,64.75,15244
Loyola Marymount U.,331,64.64,14844
"CUNY, Brooklyn C.",332,64.54,14762
Alcorn State U.,333,64.43,14698
U. Virgin Islands,334,64.32,14542
"U. Missouri, Saint Louis",335,64.21,14422
"U. Hawaii, System Office",336,64.11,14410
Salisbury U.,337,64.0,14307
"California State U., Fresno",338,63.89,13685
"California State U., East Bay",339,63.79,13632
"California State Polytechnic U., Pomona",340,63.68,13534
Midwestern U.,341,63.57,13424
Kentucky State U.,342,63.46,13422
Clark Atlanta U.,343,63.36,13340
"U. Maryland, Eastern Shore",344,63.25,13271
Langston U.,345,63.14,13095
Virginia State U.,346,63.04,13049
Ball State U.,347,62.93,12788
Northeast Ohio Medical U.,348,62.82,12707
"California State U., San Marcos",349,62.71,12650
Clark U.,350,62.61,12649
Winston-Salem State U.,351,62.5,12496
U. San Diego,352,62.39,12460
South Carolina State U.,353,62.29,12104
"U. Michigan, Dearborn",354,62.18,11769
"U. Tennessee, The, Chattanooga",355,62.07,11727
Rosalind Franklin U. Medicine and Science,356,61.96,11717
Fort Valley State U.,357,61.86,11616
"California State U., Monterey Bay",358,61.75,11459
West Texas A&M U.,359,61.64,11339
Central State U.,360,61.54,11293
"California State U., San Bernardino",361,61.43,11213
Appalachian State U.,362,61.32,11202
Western Kentucky U.,363,61.21,11190
Eastern Michigan U.,364,61.11,10962
Western U. Health Sciences,365,61.0,10950
U. San Francisco,366,60.89,10889
"Arkansas State U., Jonesboro",367,60.79,10870
"California State U., Los Angeles",368,60.68,10819
Pepperdine U.,369,60.57,10660
Wesleyan U.,370,60.46,10592
Hampton U.,371,60.36,10522
U.S. Naval Academy,372,60.25,10461
DePaul U.,373,60.14,10451
"U. Arkansas, Little Rock",374,60.04,10425
Saint Joseph's U.,375,59.93,10290
Hofstra U.,376,59.82,10029
Yeshiva U.,377,59.71,9849
MGH Institute of Health Professions,378,59.61,9549
"Rutgers, The State U. New Jersey, Camden",379,59.5,9524
"Purdue U., Northwest",380,59.39,9479
Gallaudet U.,381,59.29,9477
Kean U.,382,59.18,9386
Seton Hall U.,383,59.07,9261
U. District of Columbia,384,58.96,8998
Lincoln U.,385,58.86,8969
Texas Woman's U.,386,58.75,8918
"Southern U. and A&M C., Agricultural Research and Extension Center",387,58.64,8736
"California State U., Chico",388,58.54,8666
Middle Tennessee State U.,389,58.43,8662
Amherst C.,390,58.32,8501
C. Charleston,391,58.21,8476
"U. Hawaii, Hilo",392,58.11,8457
U. Northern Colorado,393,58.0,8435
"California State U., Bakersfield",394,57.89,8383
Lawrence Technological U.,395,57.79,8378
Pacific U.,396,57.68,8355
Texas A&M International U.,397,57.57,8324
U. Wisconsin-Superior,398,57.46,8132
Lamar U.,399,57.36,8093
Edward Via C. Osteopathic Medicine,400,57.25,8011
U. New England,401,57.14,7975
Santa Clara U.,402,57.04,7973
"U. Arkansas, Pine Bluff",403,56.93,7957
"U. Washington, Tacoma",404,56.82,7868
Georgia C. and State U.,405,56.71,7788
Abilene Christian U.,406,56.61,7777
Benedict C.,407,56.5,7620
Claremont McKenna C.,408,56.39,7611
Southern Connecticut State U.,409,56.29,7528
Philadelphia C. Osteopathic Medicine,410,56.18,7524
U. Colorado Colorado Springs,411,56.07,7375
"Marian U., Indianapolis",412,55.96,7309
Smith C.,413,55.86,7149
Norfolk State U.,414,55.75,7131
"Texas A&M U., San Antonio",415,55.64,7074
Grinnell C.,416,55.54,7054
Williams C.,417,55.43,7041
"Pennsylvania State U., The, Behrend",418,55.32,6989
Grand Valley State U.,419,55.21,6988
Wellesley C.,420,55.11,6960
Northwest Indian C.,421,55.0,6870
Dine C.,422,54.89,6819
West Chester U. Pennsylvania,423,54.79,6811
U.S. Army War C.,424,54.68,6568
Texas A&M U.-Commerce,425,54.57,6559
Indiana U. Pennsylvania,426,54.46,6546
New York Institute of Technology,427,54.36,6545
Sul Ross State U.,428,54.25,6480
U. Southern Maine,429,54.14,6361
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",430,54.04,6311
Barnard C.,431,53.93,6302
Oregon Institute of Technology,432,53.82,6259
Bryn Mawr C.,433,53.71,6198
"CUNY, Lehman C.",434,53.61,6193
Roseman U. Health Sciences,435,53.5,6067
Bucknell U.,436,53.39,6059
Swarthmore C.,437,53.29,5994
West Virginia State U.,438,53.18,5977
U. St. Thomas (MN),439,53.07,5924
"CUNY, Baruch C.",440,52.96,5915
Providence C.,441,52.86,5903
Alfred U.,442,52.75,5868
Morehouse C.,443,52.64,5839
Naval War C.,444,52.54,5838
Fairfield U.,445,52.43,5797
Trinity U.,446,52.32,5762
U. Baltimore,447,52.21,5753
"California State U., Dominguez Hills",448,52.11,5737
Occidental C.,449,52.0,5735
"CUNY, C. Staten Island",450,51.89,5698
"Pennsylvania State U., The, Harrisburg",451,51.79,5677
Sacred Heart U.,452,51.68,5652
"U. North Carolina, The, Asheville",453,51.57,5640
Dakota State U.,454,51.46,5585
U. New Haven,455,51.36,5584
